episode_id,path,n_steps,success,has_images,has_env_state,env_state_dim,step_ids_monotonic,has_step_ns,action_dim,qpos_dim,qvel_dim,timestamp,operator_id,session_id,warnings,error
episode_0,data/agx_teleop_fulltest/episode_0.hdf5,761,1,1,1,9,1,1,4,4,4,2026-03-27T06:39:13.082635,alice,fulltest-20260326,,
episode_1,data/agx_teleop_fulltest/episode_1.hdf5,786,1,1,1,9,1,1,4,4,4,2026-03-27T06:39:43.065788,alice,fulltest-20260326,,
episode_2,data/agx_teleop_fulltest/episode_2.hdf5,720,1,1,1,9,1,1,4,4,4,2026-03-27T06:40:10.921432,alice,fulltest-20260326,,
episode_3,data/agx_teleop_fulltest/episode_3.hdf5,590,1,1,1,9,1,1,4,4,4,2026-03-27T06:40:33.648140,alice,fulltest-20260326,,
episode_4,data/agx_teleop_fulltest/episode_4.hdf5,660,1,1,1,9,1,1,4,4,4,2026-03-27T06:40:57.864091,alice,fulltest-20260326,,
episode_5,data/agx_teleop_fulltest/episode_5.hdf5,659,1,1,1,9,1,1,4,4,4,2026-03-27T06:41:22.506799,alice,fulltest-20260326,,
episode_6,data/agx_teleop_fulltest/episode_6.hdf5,724,1,1,1,9,1,1,4,4,4,2026-03-27T06:41:49.601808,alice,fulltest-20260326,,
episode_7,data/agx_teleop_fulltest/episode_7.hdf5,631,1,1,1,9,1,1,4,4,4,2026-03-27T06:42:14.640077,alice,fulltest-20260326,,
episode_8,data/agx_teleop_fulltest/episode_8.hdf5,678,1,1,1,9,1,1,4,4,4,2026-03-27T06:42:43.639278,alice,fulltest-20260326,,
episode_9,data/agx_teleop_fulltest/episode_9.hdf5,707,1,1,1,9,1,1,4,4,4,2026-03-27T06:43:17.753935,alice,fulltest-20260326,,
episode_10,data/agx_teleop_fulltest/episode_10.hdf5,698,1,1,1,9,1,1,4,4,4,2026-03-27T06:43:51.426200,alice,fulltest-20260326,,
episode_11,data/agx_teleop_fulltest/episode_11.hdf5,586,1,1,1,9,1,1,4,4,4,2026-03-27T06:44:20.759489,alice,fulltest-20260326,,
episode_12,data/agx_teleop_fulltest/episode_12.hdf5,632,1,1,1,9,1,1,4,4,4,2026-03-27T06:44:50.823317,alice,fulltest-20260326,,
episode_13,data/agx_teleop_fulltest/episode_13.hdf5,619,1,1,1,9,1,1,4,4,4,2026-03-27T06:45:20.893222,alice,fulltest-20260326,,
episode_14,data/agx_teleop_fulltest/episode_14.hdf5,745,1,1,1,9,1,1,4,4,4,2026-03-27T06:45:56.014728,alice,fulltest-20260326,,
episode_15,data/agx_teleop_fulltest/episode_15.hdf5,811,1,1,1,9,1,1,4,4,4,2026-03-27T06:46:34.647326,alice,fulltest-20260326,,
episode_16,data/agx_teleop_fulltest/episode_16.hdf5,744,1,1,1,9,1,1,4,4,4,2026-03-27T06:47:11.226605,alice,fulltest-20260326,,
episode_17,data/agx_teleop_fulltest/episode_17.hdf5,842,1,1,1,9,1,1,4,4,4,2026-03-27T06:47:50.838301,alice,fulltest-20260326,,
episode_18,data/agx_teleop_fulltest/episode_18.hdf5,783,1,1,1,9,1,1,4,4,4,2026-03-27T06:48:29.126490,alice,fulltest-20260326,,
episode_19,data/agx_teleop_fulltest/episode_19.hdf5,709,1,1,1,9,1,1,4,4,4,2026-03-27T06:49:03.471210,alice,fulltest-20260326,,
