episode_id,path,n_steps,success,has_images,has_env_state,env_state_dim,step_ids_monotonic,has_step_ns,action_dim,qpos_dim,qvel_dim,timestamp,operator_id,session_id,warnings,error
episode_0,data/agx_teleop_v1/episode_0.hdf5,914,1,1,1,9,1,1,4,4,4,2026-04-01T12:26:29.010576,pingfan,agx-v1-rerecord-30,,
episode_1,data/agx_teleop_v1/episode_1.hdf5,848,1,1,1,9,1,1,4,4,4,2026-04-01T12:26:58.963179,pingfan,agx-v1-rerecord-30,,
episode_2,data/agx_teleop_v1/episode_2.hdf5,900,1,1,1,9,1,1,4,4,4,2026-04-01T12:27:29.805224,pingfan,agx-v1-rerecord-30,,
episode_3,data/agx_teleop_v1/episode_3.hdf5,901,1,1,1,9,1,1,4,4,4,2026-04-01T12:28:01.661277,pingfan,agx-v1-rerecord-30,,
episode_4,data/agx_teleop_v1/episode_4.hdf5,855,1,1,1,9,1,1,4,4,4,2026-04-01T12:28:31.894576,pingfan,agx-v1-rerecord-30,,
episode_5,data/agx_teleop_v1/episode_5.hdf5,911,1,1,1,9,1,1,4,4,4,2026-04-01T12:29:03.552767,pingfan,agx-v1-rerecord-30,,
episode_6,data/agx_teleop_v1/episode_6.hdf5,910,1,1,1,9,1,1,4,4,4,2026-04-01T12:29:36.591677,pingfan,agx-v1-rerecord-30,,
episode_7,data/agx_teleop_v1/episode_7.hdf5,972,1,1,1,9,1,1,4,4,4,2026-04-01T12:30:12.350224,pingfan,agx-v1-rerecord-30,,
episode_8,data/agx_teleop_v1/episode_8.hdf5,812,1,1,1,9,1,1,4,4,4,2026-04-01T12:30:44.298425,pingfan,agx-v1-rerecord-30,,
episode_9,data/agx_teleop_v1/episode_9.hdf5,805,1,1,1,9,1,1,4,4,4,2026-04-01T12:31:15.805117,pingfan,agx-v1-rerecord-30,,
episode_10,data/agx_teleop_v1/episode_10.hdf5,880,1,1,1,9,1,1,4,4,4,2026-04-01T12:31:49.687823,pingfan,agx-v1-rerecord-30,,
episode_11,data/agx_teleop_v1/episode_11.hdf5,833,1,1,1,9,1,1,4,4,4,2026-04-01T12:32:23.517967,pingfan,agx-v1-rerecord-30,,
episode_12,data/agx_teleop_v1/episode_12.hdf5,848,1,1,1,9,1,1,4,4,4,2026-04-01T12:32:57.313618,pingfan,agx-v1-rerecord-30,,
episode_13,data/agx_teleop_v1/episode_13.hdf5,908,1,1,1,9,1,1,4,4,4,2026-04-01T12:33:33.498124,pingfan,agx-v1-rerecord-30,,
episode_14,data/agx_teleop_v1/episode_14.hdf5,809,1,1,1,9,1,1,4,4,4,2026-04-01T12:34:06.788288,pingfan,agx-v1-rerecord-30,,
episode_15,data/agx_teleop_v1/episode_15.hdf5,856,1,1,1,9,1,1,4,4,4,2026-04-01T12:34:40.969542,pingfan,agx-v1-rerecord-30,,
episode_16,data/agx_teleop_v1/episode_16.hdf5,873,1,1,1,9,1,1,4,4,4,2026-04-01T12:35:15.689475,pingfan,agx-v1-rerecord-30,,
episode_17,data/agx_teleop_v1/episode_17.hdf5,883,1,1,1,9,1,1,4,4,4,2026-04-01T12:35:50.919303,pingfan,agx-v1-rerecord-30,,
episode_18,data/agx_teleop_v1/episode_18.hdf5,879,1,1,1,9,1,1,4,4,4,2026-04-01T12:36:26.289301,pingfan,agx-v1-rerecord-30,,
episode_19,data/agx_teleop_v1/episode_19.hdf5,807,1,1,1,9,1,1,4,4,4,2026-04-01T12:36:58.939310,pingfan,agx-v1-rerecord-30,,
episode_20,data/agx_teleop_v1/episode_20.hdf5,800,1,1,1,9,1,1,4,4,4,2026-04-01T12:37:31.217385,pingfan,agx-v1-rerecord-30,,
episode_21,data/agx_teleop_v1/episode_21.hdf5,810,1,1,1,9,1,1,4,4,4,2026-04-01T12:38:03.706314,pingfan,agx-v1-rerecord-30,,
episode_22,data/agx_teleop_v1/episode_22.hdf5,850,1,1,1,9,1,1,4,4,4,2026-04-01T12:38:37.353601,pingfan,agx-v1-rerecord-30,,
episode_23,data/agx_teleop_v1/episode_23.hdf5,838,1,1,1,9,1,1,4,4,4,2026-04-01T12:39:11.115959,pingfan,agx-v1-rerecord-30,,
episode_24,data/agx_teleop_v1/episode_24.hdf5,833,1,1,1,9,1,1,4,4,4,2026-04-01T12:39:44.839329,pingfan,agx-v1-rerecord-30,,
episode_25,data/agx_teleop_v1/episode_25.hdf5,945,1,1,1,9,1,1,4,4,4,2026-04-01T12:40:22.065283,pingfan,agx-v1-rerecord-30,,
episode_26,data/agx_teleop_v1/episode_26.hdf5,838,1,1,1,9,1,1,4,4,4,2026-04-01T12:40:56.400907,pingfan,agx-v1-rerecord-30,,
episode_27,data/agx_teleop_v1/episode_27.hdf5,820,1,1,1,9,1,1,4,4,4,2026-04-01T12:41:29.419737,pingfan,agx-v1-rerecord-30,,
episode_28,data/agx_teleop_v1/episode_28.hdf5,883,1,1,1,9,1,1,4,4,4,2026-04-01T12:42:04.640415,pingfan,agx-v1-rerecord-30,,
episode_29,data/agx_teleop_v1/episode_29.hdf5,876,1,1,1,9,1,1,4,4,4,2026-04-01T12:42:40.339393,pingfan,agx-v1-rerecord-30,,
